,text,onset,offset
0,第六,0.0,0.3325315487743373
1,颗,0.3325315487743373,0.4747760639503706
2,行星,0.4747760639503706,0.9364331065759602
3,sil,0.9364331065759602,1.0372884648737748
4,则,1.0372884648737748,1.1859986398305367
5,要,1.1859986398305367,1.3088461756643837
6,大,1.3088461756643837,1.4510906908404169
7,十,1.4510906908404169,1.7032514222888393
8,倍,1.7032514222888393,1.897221215710703
9,sil,1.897221215710703,2.640772090494513
10,上面,2.640772090494513,2.92843310657596
11,住,2.92843310657596,3.061039976241884
12,着,3.061039976241884,3.1838875120757306
13,一,3.1838875120757306,3.2744067490059336
14,位,3.2744067490059336,3.3713916457168653
15,老,3.3713916457168653,3.50717050111217
16,先生,3.50717050111217,3.90443310657596
17,sil,3.90443310657596,4.477019468221488
18,他,4.477019468221488,4.625729643178249
19,在,4.625729643178249,4.742111519231368
20,写作,4.742111519231368,5.175310724540196
21,大部头,5.175310724540196,5.660235208094855
22,的,5.660235208094855,5.7378231254636
23,书,5.7378231254636,5.95243310657596
24,sil,5.95243310657596,7.007996539562859
25,瞧,7.007996539562859,7.564043280705534
26,sil,7.564043280705534,7.98443310657596
27,来,7.98443310657596,8.158883980532583
28,了,8.158883980532583,8.320525475050802
29,一,8.320525475050802,8.436907351103919
30,位,8.436907351103919,8.566220546718496
31,探险家,8.566220546718496,9.400290658432509
32,sil,9.400290658432509,10.43243310657596
33,老,10.43243310657596,10.554093995304065
34,先生,10.554093995304065,11.00669017995508
35,看到,11.00669017995508,11.2135912929384
36,小王子,11.2135912929384,11.659721817808686
37,时,11.659721817808686,11.873088590572737
38,sil,11.873088590572737,12.073524043775329
39,叫,12.073524043775329,12.306287795881564
40,了,12.306287795881564,12.396807032811768
41,起来,12.396807032811768,12.745952660971122
42,sil,12.745952660971122,13.25027412386797
43,小王子,13.25027412386797,13.845114823695017
44,在,13.845114823695017,13.98735933887105
45,桌,13.98735933887105,14.116672534485627
46,旁,14.116672534485627,14.271848369223116
47,坐下,14.271848369223116,14.64043310657596
48,sil,14.64043310657596,15.12043310657596
49,有些,15.12043310657596,15.372324838466502
50,气喘吁吁,15.372324838466502,16.00843310657596
51,sil,16.00843310657596,16.788304330446106
52,他,16.788304330446106,16.91115186627995
53,跑,16.91115186627995,17.059862041236713
54,了,17.059862041236713,17.17624391728983
55,多少,17.17624391728983,17.538320865010643
56,路,17.538320865010643,17.67409972040595
57,啊,17.67409972040595,17.893932152950725
58,sil,17.893932152950725,18.20043310657596
59,你,18.20043310657596,18.83348413863946
60,从,18.83348413863946,19.24082070482537
61,哪里,19.24082070482537,19.712813868818575
62,来,19.712813868818575,20.003768558951368
63,的,20.003768558951368,20.15894439368886
64,呀,20.15894439368886,20.37877682623364
65,sil,20.37877682623364,21.206381278166923
66,老,21.206381278166923,21.413282391150243
67,先生,21.413282391150243,21.924069513827817
68,问,21.924069513827817,22.02752007031948
69,小王子,22.02752007031948,22.61643310657596
70,sil,22.61643310657596,23.754515776493065
71,这,23.754515776493065,24.14892102311752
72,一,24.14892102311752,24.323493837197198
73,大,24.323493837197198,24.543326269741975
74,本,24.543326269741975,24.814883980532585
75,是,24.814883980532585,24.963594155489346
76,什么,24.963594155489346,25.21575488693777
77,书,25.21575488693777,25.48843310657596
78,sil,25.48843310657596,26.095084617116882
79,小王子,26.095084617116882,26.599406080013733
80,问,26.599406080013733,26.786201149603023
81,道,26.786201149603023,26.928433106575962
82,sil,26.928433106575962,27.465095426579545
83,你,27.465095426579545,27.61643310657596
84,在,27.61643310657596,27.7237218178087
85,这里,27.7237218178087,28.08579876552951
86,干,28.08579876552951,28.2862342187321
87,什么,28.2862342187321,28.641845506672183
88,sil,28.641845506672183,29.376433106575963
89,我,29.376433106575963,29.760433106575963
90,sil,29.760433106575963,30.031962359528872
91,是,30.031962359528872,30.25826045185438
92,地理学家,30.25826045185438,31.38948413863946
93,sil,31.38948413863946,31.673973168991527
94,老,31.673973168991527,31.835614663509745
95,先生,31.835614663509745,32.20415727101128
96,答道,32.20415727101128,32.54443310657596
97,sil,32.54443310657596,33.161074918559144
98,什么,33.161074918559144,33.73005297926328
99,是,33.73005297926328,33.91109145312368
100,地理学家,33.91109145312368,34.641711008346036
101,sil,34.641711008346036,35.48043310657596
102,地理学家,35.48043310657596,36.52043310657596
103,sil,36.52043310657596,36.8544017861873
104,就,36.8544017861873,37.08069987851281
105,是,37.08069987851281,37.261738352373214
106,一,37.261738352373214,37.397517207768516
107,种,37.397517207768516,37.55915870228674
108,学者,37.55915870228674,38.29624391728982
109,sil,38.29624391728982,38.858321975915544
110,他,38.858321975915544,39.05229176933741
111,知道,39.05229176933741,39.69239208762956
112,哪里,39.69239208762956,40.17085091140349
113,有,40.17085091140349,40.31309542657952
114,海洋,40.31309542657952,41.02431800245969
115,sil,41.02431800245969,41.47044852732998
116,哪里,41.47044852732998,41.9036477326388
117,有,41.9036477326388,42.065289227157024
118,江河,42.065289227157024,42.68843310657596
119,sil,42.68843310657596,42.94461895733614
120,城市,42.94461895733614,43.70443310657596
121,sil,43.70443310657596,43.88646903535038
122,山脉,43.88646903535038,44.65588254925711
123,sil,44.65588254925711,44.79812706443314
124,沙漠,44.79812706443314,45.63219717614716
125,sil,45.63219717614716,46.64697857372284
126,这,46.64697857372284,47.086643438812395
127,sil,47.086643438812395,47.31243310657596
128,倒,47.31243310657596,47.43243310657596
129,挺,47.43243310657596,47.616827540832155
130,有,47.616827540832155,47.791400354911836
131,意思,47.791400354911836,48.28925615802795
132,sil,48.28925615802795,49.07160099149613
133,小王子,49.07160099149613,49.59531943373516
134,说,49.59531943373516,49.83243310657596
135,sil,49.83243310657596,50.42443310657596
136,这,50.42443310657596,50.728433106575956
137,sil,50.728433106575956,50.817329132292905
138,才,50.817329132292905,50.978970626811126
139,是,50.978970626811126,51.101818162644975
140,一,51.101818162644975,51.19233739957517
141,种,51.19233739957517,51.360444553874125
142,真正,51.360444553874125,51.68521514053435
143,的,51.68521514053435,51.74987173834164
144,行当,51.74987173834164,52.112433106575956
145,sil,52.112433106575956,52.77144598369679
146,他,52.77144598369679,52.894293519530635
147,朝,52.894293519530635,53.043003694487396
148,四周,53.043003694487396,53.327492724839466
149,看,53.327492724839466,53.52146251826133
150,了,53.52146251826133,53.63137873453372
151,看,53.63137873453372,53.84843310657596
152,sil,53.84843310657596,54.03871530071963
153,这,54.03871530071963,54.14671068797548
154,位,54.14671068797548,54.2630925640286
155,地理学家,54.2630925640286,54.83853628451346
156,的,54.83853628451346,54.916124201882205
157,星球,54.916124201882205,55.36043310657596
158,sil,55.36043310657596,56.048433106575956
159,他,56.048433106575956,56.16043310657596
160,还,56.16043310657596,56.28037841561598
161,从来,56.28037841561598,56.55193612640659
162,没有,56.55193612640659,56.765302899170635
163,见,56.765302899170635,56.96573835237323
164,过,56.96573835237323,57.08858588820708
165,一,57.08858588820708,57.17263946535655
166,颗,57.17263946535655,57.37643310657596
167,sil,57.37643310657596,57.55243310657596
168,如此,57.55243310657596,57.91619034014036
169,壮观,57.91619034014036,58.21361069005388
170,的,58.21361069005388,58.30412992698409
171,行星,58.30412992698409,58.73643310657596
172,sil,58.73643310657596,59.2775981289452
173,您,59.2775981289452,59.47803358214779
174,的,59.47803358214779,59.56855281907799
175,星球,59.56855281907799,60.05643310657596
176,sil,60.05643310657596,60.240981436273785
177,真,60.240981436273785,60.499607827502935
178,美,60.499607827502935,60.74530289917063
179,呀,60.74530289917063,60.94443310657596
180,sil,60.94443310657596,61.41126585658569
181,上面,61.41126585658569,61.88043310657596
182,sil,61.88043310657596,62.22593898895752
183,有,62.22593898895752,62.381114823695015
184,海洋,62.381114823695015,62.788451389880926
185,吗,62.788451389880926,63.025223088898876
186,sil,63.025223088898876,63.66532340719103
187,这,63.66532340719103,64.41533994175556
188,sil,64.41533994175556,64.63517237430035
189,我,64.63517237430035,64.81621084816075
190,没,64.81621084816075,65.11363119807427
191,法,65.11363119807427,65.4110515479878
192,知道,65.4110515479878,65.94770130978829
193,sil,65.94770130978829,66.67185520522992
194,地理学家,66.67185520522992,67.24729892571477
195,说,67.24729892571477,67.46443310657597
196,sil,67.46443310657597,68.14421768416754
197,啊,68.14421768416754,68.67243310657597
198,sil,68.67243310657597,69.46321227943622
199,小王子,69.46321227943622,70.18443310657597
200,sil,70.18443310657597,70.38443310657597
201,大失所望,70.38443310657597,71.17643310657597
202,sil,71.17643310657597,71.9944086221941
203,那么,71.9944086221941,72.55243310657596
204,sil,72.55243310657596,72.91253231105759
205,山脉,72.91253231105759,73.3651284957086
206,呢,73.3651284957086,73.60843310657597
207,sil,73.60843310657597,74.38023708128303
208,这,74.38023708128303,74.96861212132934
209,sil,74.96861212132934,75.31243310657597
210,我,75.31243310657597,75.51606378872593
211,没,75.51606378872593,75.80701847885872
212,法,75.80701847885872,76.05271355052642
213,知道,76.05271355052642,76.52043310657596
214,sil,76.52043310657596,77.06443310657596
215,地理学家,77.06443310657596,77.65619717614715
216,说,77.65619717614715,77.93422054671849
217,sil,77.93422054671849,78.66484010194084
218,那么,78.66484010194084,79.17643310657597
219,sil,79.17643310657597,79.59243310657597
220,有,79.59243310657597,79.79238525162276
221,城市,79.79238525162276,80.29643310657596
222,sil,80.29643310657596,80.64585234267896
223,河流,80.64585234267896,81.18443310657597
224,sil,81.18443310657597,81.46699113483152
225,沙漠,81.46699113483152,81.95191561838618
226,吗,81.95191561838618,82.17643310657597
227,sil,82.17643310657597,82.99935250286424
228,这,82.99935250286424,83.49156792236708
229,sil,83.49156792236708,83.91830146789518
230,我,83.91830146789518,84.18339351890506
231,也,84.18339351890506,84.39029463188838
232,没法,84.39029463188838,84.82995949697793
233,知道,84.82995949697793,85.26315870228676
234,sil,85.26315870228676,86.18774805093098
235,地理学家,86.18774805093098,86.73732913229293
236,说,86.73732913229293,86.95243310657597
237,sil,86.95243310657597,87.81677396368268
238,可,87.81677396368268,87.9784154582009
239,您,87.9784154582009,88.23243310657597
240,sil,88.23243310657597,88.6055844569316
241,还,88.6055844569316,88.74782897210763
242,是,88.74782897210763,88.88360782750293
243,地理学家,88.88360782750293,89.53017380557581
244,呢,89.53017380557581,89.76940321746278
245,sil,89.76940321746278,90.51243310657597
246,一点儿,90.51243310657597,90.99141291602052
247,不错,90.99141291602052,91.63151323431266
248,sil,91.63151323431266,92.60043310657596
249,地理学家,92.60043310657596,93.15098032391606
250,说,93.15098032391606,93.36843310657596
251,sil,93.36843310657596,94.10143231168318
252,但是,94.10143231168318,94.75243310657596
253,sil,94.75243310657596,95.11007523747688
254,我,95.11007523747688,95.32344201024092
255,不,95.32344201024092,95.59499972103154
256,是,95.59499972103154,95.75963517153014
257,探察家,95.75963517153014,96.51243310657597
258,sil,96.51243310657597,97.15243310657597
259,我,97.15243310657597,97.39544709605451
260,手下,97.39544709605451,97.78443310657596
261,sil,97.78443310657596,98.00043310657597
262,一,98.00043310657597,98.19072324908416
263,个,98.19072324908416,98.34589908382165
264,探察家,98.34589908382165,98.87608318584141
265,都,98.87608318584141,98.98599940211379
266,没有,98.98599940211379,99.43212992698409
267,sil,99.43212992698409,100.15243310657597
268,地理学家,100.15243310657597,100.88843310657597
269,sil,100.88843310657597,101.13353771578892
270,是,101.13353771578892,101.32750750921078
271,不,101.32750750921078,101.57320258087847
272,去,101.57320258087847,101.7348440753967
273,计算,101.7348440753967,102.17450894048625
274,城市,102.17450894048625,102.80043310657597
275,sil,102.80043310657597,103.06676999022682
276,河流,103.06676999022682,103.70687030851897
277,山脉,103.70687030851897,104.25643310657597
278,海洋,104.25643310657597,105.2382478907457
279,沙漠,105.2382478907457,106.08524932202117
280,的,106.08524932202117,106.24689081653939
