,text,onset,offset
0,#,0.0,0.39019999999982247
1,there,0.39019999999982247,0.6152000000001863
2,was,0.6152000000001863,1.0451999999995678
3,next,1.0451999999995678,1.425199999999677
4,to,1.425199999999677,1.5252000000000407
5,the,1.5252000000000407,1.6152000000001863
6,well,1.6152000000001863,1.9750999999996566
7,#,1.9750999999996566,2.3541999999997643
8,the,2.3541999999997643,2.519199999999728
9,ruin,2.519199999999728,2.9192000000002736
10,of,2.9192000000002736,3.0392000000001644
11,an,3.0392000000001644,3.2291999999997643
12,old,3.2291999999997643,3.5892000000003463
13,stone,3.5892000000003463,4.079200000000128
14,wall,4.079200000000128,4.553899999999885
15,#,4.553899999999885,5.461800000000039
16,when,5.461800000000039,5.616799999999785
17,i,5.616799999999785,5.746799999999894
18,came,5.746799999999894,6.086800000000039
19,back,6.086800000000039,6.366799999999785
20,from,6.366799999999785,6.546800000000076
21,my,6.546800000000076,6.696799999999712
22,work,6.696799999999712,7.106799999999566
23,the,7.106799999999566,7.20679999999993
24,next,7.20679999999993,7.576799999999821
25,evening,7.576799999999821,7.960900000000038
26,#,7.960900000000038,8.42489999999998
27,i,8.42489999999998,8.559900000000198
28,saw,8.559900000000198,8.809900000000198
29,from,8.809900000000198,9.019900000000234
30,a,9.019900000000234,9.079899999999725
31,distance,9.079899999999725,9.699899999999616
32,my,9.699899999999616,9.879899999999907
33,little,9.879899999999907,10.149900000000343
34,price,10.149900000000343,10.629899999999907
35,sitting,10.629899999999907,10.939900000000307
36,on,10.939900000000307,11.139900000000125
37,top,11.139900000000125,11.329899999999725
38,of,11.329899999999725,11.449899999999616
39,it,11.449899999999616,11.698900000000322
40,#,11.698900000000322,12.02310000000034
41,his,12.02310000000034,12.268100000000231
42,feet,12.268100000000231,12.538099999999758
43,hanging,12.538099999999758,12.948099999999613
44,down,12.948099999999613,13.417699999999968
45,#,13.417699999999968,14.061200000000099
46,and,14.061200000000099,14.226200000000063
47,i,14.226200000000063,14.36620000000039
48,heard,14.36620000000039,14.626199999999699
49,him,14.626199999999699,14.80619999999999
50,say,14.80619999999999,15.251199999999699
51,#,15.251199999999699,15.769900000000234
52,don,15.769900000000234,15.944900000000416
53,t,15.944900000000416,16.004899999999907
54,you,16.004899999999907,16.094900000000052
55,remember,16.094900000000052,16.55490000000009
56,then,16.55490000000009,16.949899999999616
57,#,16.949899999999616,17.28899999999976
58,this,17.28899999999976,17.514000000000124
59,isn,17.514000000000124,17.823999999999614
60,t,17.823999999999614,17.85400000000027
61,the,17.85400000000027,18.024000000000342
62,exact,18.024000000000342,18.444000000000415
63,spot,18.444000000000415,18.96820000000025
64,#,18.96820000000025,19.721400000000358
65,another,19.721400000000358,20.08640000000014
66,voice,20.08640000000014,20.51640000000043
67,must,20.51640000000043,20.746399999999994
68,have,20.746399999999994,20.846400000000358
69,answered,20.846400000000358,21.26640000000043
70,him,21.26640000000043,21.486399999999776
71,because,21.486399999999776,21.83640000000014
72,he,21.83640000000014,21.946399999999812
73,replied,21.946399999999812,22.50579999999991
74,#,22.50579999999991,23.034499999999753
75,yes,23.034499999999753,23.519500000000335
76,yes,23.519500000000335,23.779499999999643
77,it,23.779499999999643,23.909499999999753
78,s,23.909499999999753,23.98949999999968
79,the,23.98949999999968,24.069499999999607
80,right,24.069499999999607,24.39940000000024
81,#,24.39940000000024,24.59389999999985
82,day,24.59389999999985,25.01389999999992
83,#,25.01389999999992,25.263299999999617
84,but,25.263299999999617,25.518299999999726
85,this,25.518299999999726,25.80829999999969
86,isn,25.80829999999969,26.038300000000163
87,t,26.038300000000163,26.078300000000127
88,the,26.078300000000127,26.198300000000017
89,right,26.198300000000017,26.448300000000017
90,place,26.448300000000017,27.177300000000287
91,#,27.177300000000287,28.40939999999955
92,i,28.40939999999955,28.504399999999805
93,continued,28.504399999999805,29.134399999999914
94,my,29.134399999999914,29.314400000000205
95,walk,29.314400000000205,29.684400000000096
96,toward,29.684400000000096,29.924399999999878
97,the,29.924399999999878,30.064400000000205
98,wall,30.064400000000205,30.389000000000124
99,#,30.389000000000124,30.982600000000275
100,i,30.982600000000275,31.08759999999984
101,still,31.08759999999984,31.437600000000202
102,didn,31.437600000000202,31.677599999999984
103,t,31.677599999999984,31.737600000000384
104,see,31.737600000000384,32.09760000000006
105,or,32.09760000000006,32.25759999999991
106,hear,32.25759999999991,32.477600000000166
107,anyone,32.477600000000166,33.03759999999966
108,yet,33.03759999999966,33.64760000000024
109,the,33.64760000000024,33.77760000000035
110,little,33.77760000000035,34.02760000000035
111,prince,34.02760000000035,34.477600000000166
112,replied,34.477600000000166,34.9376000000002
113,again,34.9376000000002,35.3756999999996
114,#,35.3756999999996,35.92439999999988
115,that,35.92439999999988,36.11939999999959
116,s,36.11939999999959,36.23940000000039
117,right,36.23940000000039,36.584100000000035
118,#,36.584100000000035,36.92829999999958
119,you,36.92829999999958,37.01329999999962
120,ll,37.01329999999962,37.07330000000002
121,see,37.07330000000002,37.29330000000027
122,where,37.29330000000027,37.44329999999991
123,my,37.44329999999991,37.61329999999998
124,tracks,37.61329999999998,38.05329999999958
125,begin,38.05329999999958,38.36329999999998
126,in,38.36329999999998,38.473299999999654
127,the,38.473299999999654,38.5632999999998
128,sand,38.5632999999998,39.072799999999916
129,#,39.072799999999916,39.47180000000026
130,you,39.47180000000026,39.606799999999566
131,just,39.606799999999566,39.866799999999785
132,have,39.866799999999785,40.07679999999982
133,to,40.07679999999982,40.26680000000033
134,wait,40.26680000000033,40.57679999999982
135,there,40.57679999999982,40.8167999999996
136,for,40.8167999999996,40.996799999999894
137,me,40.996799999999894,41.25630000000001
138,#,41.25630000000001,41.590400000000045
139,i,41.590400000000045,41.63540000000012
140,ll,41.63540000000012,41.73539999999957
141,be,41.73539999999957,41.9354000000003
142,there,41.9354000000003,42.06540000000041
143,tonight,42.06540000000041,42.675100000000384
144,#,42.675100000000384,43.70269999999982
145,i,43.70269999999982,43.747699999999895
146,was,43.747699999999895,44.02769999999964
147,twenty,44.02769999999964,44.40769999999975
148,meters,44.40769999999975,44.867699999999786
149,from,44.867699999999786,45.057700000000295
150,the,45.057700000000295,45.13770000000022
151,wall,45.13770000000022,45.53259999999955
152,#,45.53259999999955,45.83690000000024
153,and,45.83690000000024,45.97189999999955
154,i,45.97189999999955,46.071899999999914
155,still,46.071899999999914,46.45190000000002
156,saw,46.45190000000002,46.691899999999805
157,nothing,46.691899999999805,47.21169999999984
158,#,47.21169999999984,48.004799999999705
159,the,48.004799999999705,48.09979999999996
160,little,48.09979999999996,48.379799999999705
161,prince,48.379799999999705,48.759799999999814
162,spoke,48.759799999999814,49.129799999999705
163,again,49.129799999999705,49.41979999999967
164,after,49.41979999999967,49.77980000000025
165,a,49.77980000000025,49.809799999999996
166,pause,49.809799999999996,50.34400000000005
167,#,50.34400000000005,51.03740000000016
168,do,51.03740000000016,51.11239999999998
169,you,51.11239999999998,51.23239999999987
170,have,51.23239999999987,51.60239999999976
171,good,51.60239999999976,51.8123999999998
172,poison,51.8123999999998,52.41160000000036
173,#,52.41160000000036,53.11489999999958
174,are,53.11489999999958,53.22990000000027
175,you,53.22990000000027,53.36989999999969
176,sure,53.36989999999969,53.67990000000009
177,you,53.67990000000009,53.84990000000016
178,won,53.84990000000016,53.9998999999998
179,t,53.9998999999998,54.02989999999954
180,make,54.02989999999954,54.28989999999976
181,me,54.28989999999976,54.40989999999965
182,suffer,54.40989999999965,54.79989999999998
183,too,54.79989999999998,55.0599000000002
184,long,55.0599000000002,55.4395999999997
185,#,55.4395999999997,56.34739999999965
186,i,56.34739999999965,56.452400000000125
187,froze,56.452400000000125,57.04730000000018
188,#,57.04730000000018,57.59100000000035
189,my,57.59100000000035,57.75600000000031
190,heart,57.75600000000031,58.19599999999991
191,skipped,58.19599999999991,58.60599999999977
192,a,58.60599999999977,58.64599999999973
193,beat,58.64599999999973,59.02509999999984
194,#,59.02509999999984,59.60869999999977
195,but,59.60869999999977,59.72369999999955
196,i,59.72369999999955,59.833700000000135
197,still,59.833700000000135,60.23369999999977
198,didn,60.23369999999977,60.463700000000244
199,t,60.463700000000244,60.53369999999995
200,understand,60.53369999999995,61.26839999999993
201,#,61.26839999999993,62.266099999999824
202,now,62.266099999999824,62.42109999999957
203,go,62.42109999999957,62.58110000000033
204,away,62.58110000000033,63.13590000000022
205,#,63.13590000000022,63.52000000000044
206,he,63.52000000000044,63.585000000000036
207,said,63.585000000000036,63.9998999999998
208,#,63.9998999999998,64.46870000000035
209,i,64.46870000000035,64.52369999999974
210,want,64.52369999999974,64.77369999999974
211,to,64.77369999999974,64.84370000000035
212,come,64.84370000000035,65.0636999999997
213,down,65.0636999999997,65.3737000000001
214,from,65.3737000000001,65.54370000000017
215,here,65.54370000000017,65.84349999999995
216,#,65.84349999999995,67.02080000000024
217,i,67.02080000000024,67.21579999999994
218,then,67.21579999999994,67.65580000000045
219,lowered,67.65580000000045,68.00579999999991
220,my,68.00579999999991,68.23580000000038
221,eyes,68.23580000000038,68.59580000000005
222,to,68.59580000000005,68.69580000000042
223,the,68.69580000000042,68.75579999999991
224,foot,68.75579999999991,69.17579999999998
225,of,69.17579999999998,69.29579999999987
226,the,69.29579999999987,69.35580000000027
227,wall,69.35580000000027,69.61560000000009
228,#,69.61560000000009,69.91479999999956
229,and,69.91479999999956,70.04979999999978
230,i,70.04979999999978,70.14980000000014
231,leapt,70.14980000000014,70.6198000000004
232,up,70.6198000000004,70.9393
233,#,70.9393,71.40319999999974
234,right,71.40319999999974,71.8082000000004
235,there,71.8082000000004,72.28819999999996
236,facing,72.28819999999996,72.8181999999997
237,the,72.8181999999997,72.97819999999956
238,little,72.97819999999956,73.2482
239,prince,73.2482,73.88820000000032
240,was,73.88820000000032,74.10819999999967
241,one,74.10819999999967,74.26820000000043
242,of,74.26820000000043,74.40819999999985
243,those,74.40819999999985,74.64819999999963
244,yellow,74.64819999999963,75.07819999999992
245,snakes,75.07819999999992,75.69819999999982
246,that,75.69819999999982,75.85819999999967
247,can,75.85819999999967,76.0582000000004
248,kill,76.0582000000004,76.35819999999967
249,you,76.35819999999967,76.5582000000004
250,in,76.5582000000004,76.70820000000003
251,thirty,76.70820000000003,77.1881999999996
252,seconds,77.1881999999996,77.86819999999989
253,flat,77.86819999999989,78.3109999999997
254,#,78.3109999999997,78.9444999999996
255,even,78.9444999999996,79.46950000000015
256,as,79.46950000000015,79.61949999999979
257,i,79.61949999999979,79.75950000000012
258,dug,79.75950000000012,80.11949999999979
259,around,80.11949999999979,80.53949999999986
260,in,80.53949999999986,80.62950000000001
261,my,80.62950000000001,80.78949999999986
262,pocket,80.78949999999986,81.21950000000015
263,to,81.21950000000015,81.3095000000003
264,take,81.3095000000003,81.63950000000023
265,out,81.63950000000023,81.78949999999986
266,my,81.78949999999986,81.98949999999968
267,revolver,81.98949999999968,82.59320000000025
268,#,82.59320000000025,82.96730000000025
269,i,82.96730000000025,83.04230000000007
270,made,83.04230000000007,83.3122999999996
271,a,83.3122999999996,83.39230000000043
272,running,83.39230000000043,83.85229999999956
273,step,83.85229999999956,84.20719999999983
274,#,84.20719999999983,84.39170000000013
275,back,84.39170000000013,84.77639999999974
276,#,84.77639999999974,85.54960000000028
277,but,85.54960000000028,85.70460000000003
278,at,85.70460000000003,85.88460000000032
279,the,85.88460000000032,86.01460000000043
280,noise,86.01460000000043,86.38460000000032
281,i,86.38460000000032,86.54460000000017
282,made,86.54460000000017,86.91439999999966
283,#,86.91439999999966,87.26850000000013
284,the,87.26850000000013,87.33349999999973
285,snake,87.33349999999973,87.77350000000024
286,let,87.77350000000024,87.99349999999959
287,himself,87.99349999999959,88.54349999999977
288,flow,88.54349999999977,88.8135000000002
289,easily,88.8135000000002,89.36350000000039
290,across,89.36350000000039,89.78349999999955
291,the,89.78349999999955,89.86350000000039
292,sand,89.86350000000039,90.43289999999979
293,#,90.43289999999979,90.73719999999958
294,like,90.73719999999958,90.99219999999968
295,the,90.99219999999968,91.08219999999983
296,dying,91.08219999999983,91.5622000000003
297,spray,91.5622000000003,92.0622000000003
298,of,92.0622000000003,92.13220000000001
299,a,92.13220000000001,92.20219999999972
300,fountain,92.20219999999972,92.75659999999971
301,#,92.75659999999971,93.27540000000045
302,and,93.27540000000045,93.45039999999972
303,in,93.45039999999972,93.59040000000005
304,no,93.59040000000005,93.80040000000008
305,apparent,93.80040000000008,94.39040000000023
306,hurry,94.39040000000023,94.73530000000028
307,#,94.73530000000028,95.08439999999973
308,slipped,95.08439999999973,95.57939999999962
309,between,95.57939999999962,95.94940000000042
310,the,95.94940000000042,96.01940000000013
311,stones,96.01940000000013,96.59940000000006
312,with,96.59940000000006,96.73940000000039
313,a,96.73940000000039,96.79939999999988
314,light,96.79939999999988,97.15940000000046
315,metallic,97.15940000000046,97.76940000000013
316,sound,97.76940000000013,98.26810000000023
317,#,98.26810000000023,99.13609999999971
318,i,99.13609999999971,99.43109999999979
319,reached,99.43109999999979,99.84109999999964
320,the,99.84109999999964,99.9411
321,wall,99.9411,100.2511000000004
322,just,100.2511000000004,100.6310999999996
323,in,100.6310999999996,100.76109999999971
324,time,100.76109999999971,101.0610999999999
325,to,101.0610999999999,101.16110000000026
326,catch,101.16110000000026,101.57110000000011
327,my,101.57110000000011,101.74110000000019
328,little,101.74110000000019,101.97109999999975
329,fellow,101.97109999999975,102.35109999999986
330,in,102.35109999999986,102.45110000000022
331,my,102.45110000000022,102.6211000000003
332,arms,102.6211000000003,103.18009999999958
333,#,103.18009999999958,103.36459999999988
334,who,103.36459999999988,103.42960000000039
335,was,103.42960000000039,103.65959999999995
336,white,103.65959999999995,103.91960000000017
337,as,103.91960000000017,104.11959999999999
338,snow,104.11959999999999,104.5043999999998
339,#,104.5043999999998,105.29749999999967
340,what,105.29749999999967,105.43249999999989
341,s,105.43249999999989,105.51249999999982
342,going,105.51249999999982,105.76249999999982
343,on,105.76249999999982,105.94250000000011
344,here,105.94250000000011,106.19740000000002
345,#,106.19740000000002,106.39689999999973
346,why,106.39689999999973,106.84190000000035
347,are,106.84190000000035,106.96190000000024
348,you,106.96190000000024,107.05190000000039
349,talking,107.05190000000039,107.4418999999998
350,with,107.4418999999998,107.58190000000013
351,snakes,107.58190000000013,108.18109999999979
352,#,108.18109999999979,109.14879999999994
353,i,109.14879999999994,109.3137999999999
354,d,109.3137999999999,109.38379999999961
355,loosened,109.38379999999961,109.8738000000003
356,the,109.8738000000003,109.95380000000023
357,golden,109.95380000000023,110.44380000000001
358,muffler,110.44380000000001,110.85379999999986
359,that,110.85379999999986,110.99380000000019
360,he,110.99380000000019,111.13379999999961
361,always,111.13379999999961,111.61380000000008
362,wore,111.61380000000008,111.86340000000018
363,#,111.86340000000018,112.33730000000014
364,i,112.33730000000014,112.4422999999997
365,d,112.4422999999997,112.51230000000032
366,moistened,112.51230000000032,113.03229999999985
367,his,113.03229999999985,113.2523000000001
368,temples,113.2523000000001,113.8122999999996
369,and,113.8122999999996,113.92230000000018
370,had,113.92230000000018,114.14230000000043
371,him,114.14230000000043,114.34230000000025
372,drink,114.34230000000025,114.76190000000042
373,#,114.76190000000042,115.15089999999964
374,and,115.15089999999964,115.5658999999996
375,now,115.5658999999996,115.96560000000045
376,#,115.96560000000045,116.33470000000034
377,i,116.33470000000034,116.44970000000012
378,didn,116.44970000000012,116.71969999999965
379,t,116.71969999999965,116.77970000000005
380,dare,116.77970000000005,117.03970000000027
381,ask,117.03970000000027,117.33970000000045
382,him,117.33970000000045,117.4396999999999
383,anything,117.4396999999999,117.82970000000023
384,more,117.82970000000023,118.09929999999986
385,#,118.09929999999986,118.93239999999969
386,he,118.93239999999969,119.09739999999965
387,looked,119.09739999999965,119.42739999999958
388,at,119.42739999999958,119.48739999999998
389,me,119.48739999999998,119.61740000000009
390,gravely,119.61740000000009,120.17739999999958
