,text,onset,offset
0,,0.0,3.13
1,la,3.13,3.24
2,,3.24,3.3
3,sixième,3.3,3.78
4,,3.78,3.9
5,planète,3.9,4.43
6,,4.43,4.61
7,était,4.61,4.81
8,,4.81,4.87
9,une,4.87,5.09
10,planète,5.09,5.59
11,dix,5.59,5.95
12,fois,5.95,6.31
13,plus,6.31,6.58
14,vaste,6.58,7.16
15,,7.16,7.72
16,Elle,7.72,7.92
17,était,7.92,8.22
18,habitée,8.22,8.66
19,par,8.66,8.82
20,un,8.82,8.99
21,vieux,8.99,9.18
22,monsieur,9.18,9.73
23,,9.73,9.89
24,qui,9.89,10.06
25,écrivait,10.06,10.58
26,d',10.58,10.7
27,énormes,10.7,11.53
28,livres,11.53,12.06
29,,12.06,13.03
30,«Tiens,13.03,13.32
31,,13.32,13.64
32,voilà,13.64,13.93
33,un,13.93,13.96
34,,13.96,14.1
35,explorateur,14.1,14.99
36,,14.99,15.49
37,s',15.49,15.63
38,écria,15.63,15.99
39,-t,15.99,16.23
40,-il,16.23,16.42
41,,16.42,16.51
42,quand,16.51,16.74
43,il,16.74,16.86
44,aperçut,16.86,17.27
45,le,17.27,17.39
46,petit,17.39,17.7
47,prince,17.7,18.31
48,,18.31,19.22
49,Le,19.22,19.36
50,petit,19.36,19.68
51,prince,19.68,20.15
52,s',20.15,20.17
53,assit,20.17,20.52
54,sur,20.52,20.67
55,la,20.67,20.83
56,table,20.83,21.26
57,,21.26,21.43
58,et,21.43,21.52
59,souffla,21.52,21.98
60,un,21.98,22.24
61,peu,22.24,22.51
62,,22.51,23.04
63,Il,23.04,23.23
64,avait,23.23,23.48
65,déjà,23.48,23.9
66,,23.9,24.07
67,tant,24.07,24.35
68,voyagé,24.35,24.98
69,,24.98,25.74
70,«D',25.74,25.83
71,où,25.83,25.96
72,viens,25.96,26.17
73,-tu,26.17,26.57
74,,26.57,26.86
75,lui,26.86,27.08
76,dit,27.08,27.24
77,le,27.24,27.36
78,vieux,27.36,27.54
79,monsieur,27.54,28.02
80,,28.02,29.01
81,Quel,29.01,29.21
82,est,29.21,29.3
83,ce,29.3,29.46
84,gros,29.46,29.68
85,livre,29.68,30.11
86,,30.11,30.38
87,dit,30.38,30.6
88,le,30.6,30.68
89,petit,30.68,30.96
90,prince,30.96,31.51
91,,31.51,31.86
92,Que,31.86,32.01
93,faites,32.01,32.25
94,-vous,32.25,32.5
95,ici,32.5,32.97
96,,32.97,33.98
97,Je,33.98,34.05
98,suis,34.05,34.34
99,géographe,34.34,35.2
100,,35.2,35.61
101,dit,35.61,35.95
102,le,35.95,36.06
103,vieux,36.06,36.25
104,monsieur,36.25,36.78
105,,36.78,37.59
106,Qu',37.59,37.67
107,est,37.67,37.75
108,-ce,37.75,37.84
109,qu',37.84,37.9
110,un,37.9,38.02
111,géographe,38.02,38.73
112,,38.73,39.423057870861676
113,c',39.423057870861676,39.53494307287989
114,est,39.53494307287989,39.71
115,,39.71,39.81
116,un,39.81,39.87
117,,39.87,39.98
